X,Y,COND1,COND2,COND3,COND4,COND5,COND6
148.1426321,195.7716505,6.13479,5.85864,5.48423,6.64292,6.40144,7.28218
149.1435959,195.7716505,6.0761,5.77638,5.44936,6.65676,6.47785,7.39967
150.1445596,195.7716505,6.01741,5.69412,5.41448,6.6706,6.55425,7.51716
151.1455233,195.7716505,5.95871,5.61186,5.37961,6.68444,6.63066,7.63465
152.146487,195.7716505,6.14395,5.75229,5.50527,6.78421,6.7174,7.70487
153.1474508,195.7716505,6.46267,6.01456,5.71877,6.93101,6.80979,7.74921
154.1484145,195.7716505,6.78138,6.27683,5.93227,7.0778,6.90219,7.79355
155.1493782,195.7716505,7.1001,6.5391,6.14578,7.2246,6.99458,7.8379
156.150342,195.7716505,7.29139,6.71671,6.34324,7.42268,7.23081,8.08444
157.1513057,195.7716505,7.41414,6.84879,6.53209,7.64836,7.54441,8.43977
158.1522694,195.7716505,7.53688,6.98087,6.72093,7.87404,7.85801,8.7951
159.1532332,195.7716505,7.65963,7.11295,6.90977,8.09971,8.17162,9.15044
160.1541969,195.7716505,7.88886,7.32938,7.15753,8.35441,8.48291,9.4801
161.1551606,195.7716505,8.17443,7.59043,7.43645,8.62445,8.79299,9.79619
116.1117927,194.7728156,5.55729,4.89436,4.34978,5.45107,4.91403,5.68813
117.1127565,194.7728156,5.47451,4.81144,4.26992,5.3816,4.84424,5.62352
118.1137202,194.7728156,5.39174,4.72852,4.19007,5.31214,4.77445,5.5589
119.1146839,194.7728156,5.30896,4.64561,4.11021,5.24267,4.70466,5.49428
120.1156477,194.7728156,5.29773,4.64287,4.1193,5.26226,4.74086,5.54016
121.1166114,194.7728156,5.33118,4.69022,4.18395,5.33747,4.84327,5.65506
122.1175751,194.7728156,5.36464,4.73756,4.24859,5.41268,4.94568,5.76995
123.1185389,194.7728156,5.39809,4.78491,4.31324,5.48789,5.04808,5.88484
124.1195026,194.7728156,5.40649,4.851,4.37653,5.54258,5.10251,5.93485
125.1204663,194.7728156,5.39949,4.92862,4.43898,5.58466,5.12746,5.94499
126.1214301,194.7728156,5.39248,5.00623,4.50143,5.62674,5.15241,5.95513
127.1223938,194.7728156,5.38548,5.08385,4.56389,5.66882,5.17736,5.96526
128.1233575,194.7728156,5.38399,5.01026,4.50808,5.63527,5.16487,5.96958
129.1243212,194.7728156,5.38584,4.84527,4.38077,5.556,5.12976,5.97037
130.125285,194.7728156,5.38768,4.68029,4.25347,5.47673,5.09465,5.97117
131.1262487,194.7728156,5.38952,4.5153,4.12617,5.39746,5.05953,5.97196
132.1272124,194.7728156,5.4527,4.5519,4.16198,5.42917,5.09218,6.00278
133.1281762,194.7728156,5.55235,4.7084,4.2948,5.52688,5.16512,6.05144
134.1291399,194.7728156,5.65201,4.86489,4.42761,5.62459,5.23806,6.10011
135.1301036,194.7728156,5.75166,5.02138,4.56043,5.7223,5.311,6.14878
136.1310674,194.7728156,5.78516,5.0913,4.63644,5.79706,5.39833,6.23876
137.1320311,194.7728156,5.77996,5.1106,4.67923,5.85839,5.49406,6.35292
138.1329948,194.7728156,5.77476,5.12989,4.72202,5.91972,5.58979,6.46707
139.1339585,194.7728156,5.76957,5.14919,4.7648,5.98106,5.68553,6.58122
140.1349223,194.7728156,5.84492,5.21061,4.83836,6.0594,5.78453,6.68807
141.135886,194.7728156,5.96662,5.29628,4.92963,6.14752,5.88541,6.79071
142.1368497,194.7728156,6.08832,5.38194,5.0209,6.23564,5.9863,6.89335
143.1378135,194.7728156,6.21001,5.46761,5.11216,6.32376,6.08718,6.99599
144.1387772,194.7728156,6.25648,5.57857,5.214,6.40736,6.16409,7.06191
145.1397409,194.7728156,6.26039,5.70384,5.32183,6.48839,6.22743,7.10704
146.1407047,194.7728156,6.2643,5.82911,5.42966,6.56942,6.29077,7.15217
147.1416684,194.7728156,6.2682,5.95438,5.53748,6.65045,6.35411,7.19731
148.1426321,194.7728156,6.23362,5.93072,5.5391,6.67617,6.41435,7.2788
149.1435959,194.7728156,6.17761,5.8242,5.48163,6.67111,6.47285,7.38052
150.1445596,194.7728156,6.1216,5.71768,5.42416,6.66605,6.53135,7.48224
151.1455233,194.7728156,6.0656,5.61116,5.36668,6.661,6.58985,7.58396
152.146487,194.7728156,6.22765,5.7294,5.47015,6.74064,6.6552,7.6335
