X,Y,K,U,Th,TC
8050,8400,22.55,15.96711,10.1544,707.95083
8100,8400,14.0943,11.06963,6.99416,571.70167
8150,8400,4.53886,5.77453,4.01691,416.42021
8200,8400,-3.7532,2.24231,2.38692,286.00485
8250,8400,-6.15682,2.87483,1.53353,251.9627
8300,8400,-5.2072,2.53902,1.43044,230.75161
8350,8400,-4.5331,1.26391,1.32258,215.32803
8400,8400,-5.83455,0.16569,1.04098,209.62988
8450,8400,-9.40169,1.24963,1.2432,223.02446
8500,8400,-6.64252,0.11589,0.72119,215.20769
8550,8400,-5.13303,-0.22452,0.25763,212.13931
8600,8400,-5.05786,0.68555,0.25013,220.50056
8650,8400,-5.64777,2.99134,0.72232,242.90548
8700,8400,-0.82309,4.30236,0.99831,280.18285
8750,8400,5.7547,5.43846,1.73184,341.17686
8800,8400,13.18963,5.09099,2.86181,415.95295
8850,8400,22.56459,3.24472,4.97758,497.0635
8900,8400,28.82174,8.21015,6.53616,619.6626
8950,8400,38.15032,11.85839,8.84677,743.78232
9000,8400,47.18844,13.66646,10.37699,852.27527
9050,8400,52.63561,14.71612,10.57141,919.93488
9250,8400,45.129,15.71651,14.51601,881.07673
9300,8400,35.59923,12.80643,10.97107,767.36597
9350,8400,22.66564,8.30483,7.55026,576.30784
9400,8400,9.95839,3.171,5.06318,342.09326
9450,8400,0.00187,-1.25088,3.52511,121.95621
9500,8400,-3.544,-2.5418,2.81429,50.09525
9550,8400,-6.37039,-2.13236,1.14966,4.21542
9600,8400,-8.76627,-1.45552,0.10865,-21.34132
9650,8400,-10.008,-1.0771,-0.26286,-26.21704
9700,8400,-9.0377,-1.51162,-0.33786,-11.18382
9750,8400,-4.05962,-2.94814,-0.88197,7.08429
9800,8400,1.82499,-3.81836,-1.38722,24.47434
9850,8400,6.13702,-3.68267,-1.53249,29.07579
9900,8400,5.63879,-2.99173,-1.1407,16.0207
7400,8350,37.25463,18.57693,16.49341,785.81539
7450,8350,36.42396,18.18811,16.80271,792.84686
7950,8350,18.98755,8.17949,8.91059,543.3204
8000,8350,17.88924,9.00135,7.78702,551.01311
8050,8350,14.8699,9.17478,6.84968,531.86263
8100,8350,8.59149,6.02849,3.96323,442.67067
8150,8350,1.33828,2.49477,1.2217,335.29967
8200,8350,-4.71657,0.77158,-0.11389,251.628
8250,8350,-7.52075,1.74867,-0.72591,228.0334
8300,8350,-4.77896,1.30847,-0.09919,209.60875
8350,8350,-1.77542,0.39898,0.51843,203.36782
8400,8350,1.08029,-0.62709,1.29895,205.60779
8450,8350,3.75753,-1.49748,2.38311,209.97017
8500,8350,0.3801,-0.78743,1.07689,209.38369
8550,8350,-2.21074,-0.3939,0.42875,208.20039
8600,8350,-3.5525,0.41686,0.45446,217.52016
8650,8350,-3.17471,2.07462,0.76436,243.83208
8700,8350,0.32482,4.43471,1.22136,290.7481
8750,8350,6.30867,7.24102,2.30636,375.33517
8800,8350,11.51422,9.84597,2.80221,483.58347
8850,8350,15.04342,13.96882,2.48925,596.00946
8900,8350,26.62998,13.69873,6.62111,690.96639
8950,8350,39.44772,14.6566,9.53912,793.57105
9000,8350,52.25989,15.55984,11.00592,896.336
9050,8350,62.03625,15.71162,11.71191,978.90216
9300,8350,39.47959,14.11405,11.50596,869.12923
9350,8350,25.61238,10.49158,8.10423,656.72984
9400,8350,12.53884,5.02008,5.65607,398.80387
9450,8350,2.60203,0.09602,4.14018,170.73836
9500,8350,-1.88507,-2.24313,3.62594,56.99467
9550,8350,-5.26305,-1.96333,1.29924,-16.54658
9600,8350,-7.1099,-1.23654,0.13794,-41.74521
9650,8350,-7.86581,-0.72581,0.09399,-33.43
9700,8350,-7.51657,-0.49634,0.41607,1.06737
9750,8350,-1.56305,-1.56281,-0.10333,47.17873
9800,8350,4.84917,-1.1038,-0.2981,107.53302
9850,8350,11.15639,1.56848,0.22731,172.80982
9900,8350,16.91835,4.23985,0.93227,227.97225
7300,8300,41.35258,16.3659,16.73,778.38419
7400,8300,30.20417,14.9828,14.90724,701.44676
7450,8300,28.5146,14.6838,14.93091,706.9302
7500,8300,31.18748,14.54323,16.07992,737.74129
7550,8300,34.73075,14.96665,17.77436,784.94489
7900,8300,13.66239,2.64138,7.9943,426.36679
7950,8300,13.49289,3.16894,6.10515,413.27451
8000,8300,12.02637,3.67903,4.78373,388.44026
8050,8300,9.40604,3.4936,4.04522,352.06427
8100,8300,5.5116,1.97861,1.62402,308.17641
8150,8300,1.74997,0.17044,-0.4064,255.85008
8200,8300,-0.3132,-0.88596,-1.23409,211.57491
8250,8300,-0.00077,-0.49921,-1.14056,190.98954
8300,8300,0.52441,-0.21148,-1.17156,189.11394
8350,8300,2.21129,0.00344,-0.84992,195.85973
8400,8300,4.9903,-0.07191,-0.76202,208.05355
8450,8300,7.51678,-0.25308,-1.34892,219.91751
8500,8300,3.5759,-0.03622,-0.85583,207.38625
8550,8300,0.18152,-0.35014,-0.38199,200.19939
8600,8300,-1.10752,-0.61271,0.05328,205.9593
8650,8300,0.01092,-0.25187,0.41915,230.04306
8700,8300,1.75816,2.34621,1.0916,275.05257
8750,8300,8.14429,5.41323,3.59524,380.92495
8800,8300,15.88662,7.5749,6.35244,522.32794
8850,8300,24.44224,8.72735,9.53749,671.9561
8900,8300,27.95931,12.19984,11.11681,724.04198
8950,8300,38.69476,14.46395,12.89939,812.83445
9000,8300,51.44874,15.60792,15.46627,920.75197
9300,8300,43.2426,19.21184,11.40363,992.07485
9350,8300,29.9415,14.15497,8.70604,754.95924
