X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
5600,5400,0.0374,0.04,0.0505,0.0612,0.0809,0.1258,0.1508,0.1518,0.1823,0.0458,0.0108,0.2502,0.1674
5650,5400,0.0373,0.0383,0.0489,0.0587,0.0799,0.1279,0.1536,0.1535,0.1852,0.0467,0.0107,0.2459,0.1611
5700,5400,0.0395,0.0469,0.0602,0.0705,0.0945,0.1505,0.1782,0.179,0.2124,0.0486,0.0107,0.2446,0.1574
5750,5400,0.0421,0.049,0.0613,0.0739,0.0933,0.138,0.1623,0.1617,0.1938,0.049,0.0108,0.2404,0.1615
5800,5400,0.04,0.0399,0.0503,0.0616,0.0801,0.1179,0.1398,0.1407,0.1697,0.0454,0.0109,0.224,0.1489
5850,5400,0.0377,0.0411,0.051,0.0629,0.0802,0.1154,0.1368,0.1381,0.1663,0.0438,0.0109,0.2252,0.1503
5900,5400,0.0379,0.0436,0.0536,0.0661,0.0824,0.1165,0.1376,0.1384,0.166,0.0431,0.0109,0.2338,0.158
5950,5400,0.0381,0.0414,0.0508,0.0633,0.0804,0.1156,0.1372,0.1386,0.1676,0.0437,0.0109,0.245,0.1652
6000,5400,0.0381,0.0404,0.0502,0.0624,0.0811,0.1194,0.1429,0.144,0.1742,0.0447,0.011,0.2517,0.1694
6050,5400,0.0378,0.0412,0.0508,0.0623,0.0798,0.1169,0.1385,0.1386,0.1682,0.0447,0.0109,0.2376,0.1623
